tag,layer,raw_length,log1p_length,entropy,top1,top2_a,top2_b,top2_same_pair,logits_json
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.149999976158142,0,0,6,0,"[-0.004332937300205231, -0.2149738371372223, -0.08862810581922531, -0.0660778135061264, -0.19195619225502014, -0.06422373652458191, -0.027883661910891533, -0.1776183843612671]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.2000000476837158,0,0,6,0,"[-0.004481000825762749, -0.22090235352516174, -0.09059903025627136, -0.06712022423744202, -0.1971830576658249, -0.06529664248228073, -0.028399033471941948, -0.18227225542068481]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.25,0,0,6,0,"[-0.004629063419997692, -0.2268308699131012, -0.09256994724273682, -0.06816262751817703, -0.20240989327430725, -0.06636954098939896, -0.028914403170347214, -0.18692609667778015]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.3000000715255737,0,0,6,0,"[-0.0047771260142326355, -0.23275940120220184, -0.09454087913036346, -0.06920504570007324, -0.2076367437839508, -0.06744244694709778, -0.02942977473139763, -0.19157996773719788]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.350000023841858,0,0,6,0,"[-0.0049251895397901535, -0.2386879026889801, -0.09651179611682892, -0.07024744898080826, -0.21286359429359436, -0.0685153529047966, -0.029945146292448044, -0.1962338089942932]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.399999976158142,0,0,6,0,"[-0.005073252134025097, -0.24461641907691956, -0.09848271310329437, -0.07128985971212387, -0.21809041500091553, -0.06958825141191483, -0.03046051785349846, -0.20088766515254974]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.4500000476837158,0,0,6,0,"[-0.00522131472826004, -0.250544935464859, -0.10045364499092102, -0.07233227044343948, -0.22331726551055908, -0.07066115736961365, -0.030975889414548874, -0.20554152131080627]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.5,0,0,6,0,"[-0.005369377322494984, -0.25647345185279846, -0.10242456197738647, -0.0733746737241745, -0.22854411602020264, -0.07173405587673187, -0.03149125725030899, -0.210195392370224]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.5500000715255737,0,0,6,0,"[-0.005517440848052502, -0.2624019980430603, -0.10439547896385193, -0.07441708445549011, -0.2337709665298462, -0.0728069618344307, -0.032006628811359406, -0.21484923362731934]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.600000023841858,0,0,6,0,"[-0.005665503442287445, -0.26833048462867737, -0.10636640340089798, -0.07545949518680573, -0.23899780213832855, -0.07387986034154892, -0.03252200037240982, -0.21950310468673706]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.649999976158142,0,0,6,0,"[-0.0058135660365223885, -0.2742590010166168, -0.10833732783794403, -0.07650190591812134, -0.2442246377468109, -0.07495276629924774, -0.033037371933460236, -0.2241569459438324]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.7000000476837158,0,0,6,0,"[-0.0059616295620799065, -0.2801875174045563, -0.11030825227499008, -0.07754431664943695, -0.24945148825645447, -0.07602567225694656, -0.03355274349451065, -0.22881081700325012]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.75,0,0,6,0,"[-0.00610969215631485, -0.2861160337924957, -0.11227916926145554, -0.07858672738075256, -0.254678338766098, -0.07709857076406479, -0.034068115055561066, -0.23346465826034546]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.8000000715255737,0,0,6,0,"[-0.006257754750549793, -0.2920445501804352, -0.11425009369850159, -0.07962913811206818, -0.2599051892757416, -0.07817147672176361, -0.03458348661661148, -0.23811852931976318]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.850000023841858,0,0,6,0,"[-0.006405817344784737, -0.29797306656837463, -0.11622101068496704, -0.08067154884338379, -0.26513200998306274, -0.07924437522888184, -0.0350988544523716, -0.24277237057685852]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.899999976158142,0,0,6,0,"[-0.00655387993901968, -0.3039015531539917, -0.11819193512201309, -0.0817139595746994, -0.2703588604927063, -0.08031728118658066, -0.03561422601342201, -0.24742624163627625]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,1.9500000476837158,0,0,6,0,"[-0.006701943464577198, -0.30983009934425354, -0.12016285955905914, -0.08275637030601501, -0.27558571100234985, -0.08139017969369888, -0.03612959757447243, -0.2520800828933716]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.0,0,0,6,0,"[-0.006850006058812141, -0.315758615732193, -0.1221337765455246, -0.08379878103733063, -0.2808125615119934, -0.0824630856513977, -0.03664496913552284, -0.2567339539527893]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.049999952316284,0,0,6,0,"[-0.006998068653047085, -0.32168710231781006, -0.12410470098257065, -0.08484118431806564, -0.2860393822193146, -0.08353598415851593, -0.03716034069657326, -0.26138779520988464]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.0999999046325684,0,0,6,0,"[-0.007146131247282028, -0.3276156187057495, -0.1260756254196167, -0.08588359504938126, -0.29126623272895813, -0.08460889011621475, -0.037675708532333374, -0.26604163646698]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.1499998569488525,0,0,6,0,"[-0.007294193841516972, -0.33354413509368896, -0.12804654240608215, -0.08692599833011627, -0.2964930534362793, -0.08568178862333298, -0.03819108009338379, -0.2706955075263977]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.200000047683716,0,0,6,0,"[-0.00744225736707449, -0.3394726812839508, -0.1300174593925476, -0.08796841651201248, -0.30171993374824524, -0.0867546945810318, -0.0387064553797245, -0.27534937858581543]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.25,0,0,6,0,"[-0.007590319961309433, -0.34540116786956787, -0.13198837637901306, -0.0890108272433281, -0.3069467842578888, -0.08782760053873062, -0.03922182321548462, -0.28000321984291077]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.299999952316284,0,0,6,0,"[-0.007738382555544376, -0.3513296842575073, -0.1339593082666397, -0.09005323052406311, -0.31217360496520996, -0.08890049904584885, -0.039737194776535034, -0.2846570611000061]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.3499999046325684,0,0,6,0,"[-0.007886446081101894, -0.3572582006454468, -0.13593022525310516, -0.09109564125537872, -0.3174004554748535, -0.08997340500354767, -0.04025256633758545, -0.28931093215942383]"
natural_granularity_AC1_total20k,0,1.0,0.6931471824645996,2.4000000953674316,0,0,6,0,"[-0.008034509606659412, -0.3631867468357086, -0.1379011571407318, -0.09213805198669434, -0.32262730598449707, -0.09104631096124649, -0.040767937898635864, -0.29396480321884155]"
