layer,matrix,expert_i,expert_j,same_original_pair,cosine_distance
3,w2,3,6,0,0.9997285604476929
3,w2,3,7,0,0.0017426013946533203
3,w2,4,5,1,0.9997426271438599
3,w2,4,6,0,0.0014455318450927734
3,w2,4,7,0,0.9997226595878601
3,w2,5,6,0,0.9997474551200867
3,w2,5,7,0,0.0019004344940185547
3,w2,6,7,1,0.9997264742851257
3,w3,0,1,1,0.9992842078208923
3,w3,0,2,0,0.0053675174713134766
3,w3,0,3,0,0.9992568492889404
3,w3,0,4,0,0.005329251289367676
3,w3,0,5,0,0.999248206615448
3,w3,0,6,0,0.005289971828460693
3,w3,0,7,0,0.9991730451583862
3,w3,1,2,0,0.9991912245750427
3,w3,1,3,0,0.006509244441986084
3,w3,1,4,0,0.999269962310791
3,w3,1,5,0,0.007511138916015625
3,w3,1,6,0,0.9992312788963318
3,w3,1,7,0,0.007733345031738281
3,w3,2,3,1,0.9991843104362488
3,w3,2,4,0,0.006674289703369141
3,w3,2,5,0,0.9991692304611206
3,w3,2,6,0,0.006203830242156982
3,w3,2,7,0,0.9990886449813843
3,w3,3,4,0,0.9992442727088928
3,w3,3,5,0,0.0075234174728393555
3,w3,3,6,0,0.9992115497589111
3,w3,3,7,0,0.00743556022644043
3,w3,4,5,1,0.9992263317108154
3,w3,4,6,0,0.006254136562347412
3,w3,4,7,0,0.9991629123687744
3,w3,5,6,0,0.9991981387138367
3,w3,5,7,0,0.008073687553405762
3,w3,6,7,1,0.9991206526756287
4,w1,0,1,1,0.9930535554885864
4,w1,0,2,0,0.0037535429000854492
4,w1,0,3,0,0.9930424094200134
4,w1,0,4,0,0.001673579216003418
4,w1,0,5,0,0.9930369257926941
4,w1,0,6,0,0.0038115978240966797
4,w1,0,7,0,0.9930614829063416
4,w1,1,2,0,0.9930593967437744
4,w1,1,3,0,0.005787968635559082
4,w1,1,4,0,0.993065595626831
4,w1,1,5,0,0.005296468734741211
4,w1,1,6,0,0.9930766224861145
4,w1,1,7,0,0.005285978317260742
4,w1,2,3,1,0.993052065372467
4,w1,2,4,0,0.0039975643157958984
4,w1,2,5,0,0.9930307269096375
4,w1,2,6,0,0.0038616061210632324
4,w1,2,7,0,0.9930731654167175
4,w1,3,4,0,0.9930574893951416
4,w1,3,5,0,0.005653262138366699
4,w1,3,6,0,0.9930620789527893
4,w1,3,7,0,0.005696415901184082
4,w1,4,5,1,0.9930413961410522
4,w1,4,6,0,0.00406491756439209
4,w1,4,7,0,0.993071973323822
4,w1,5,6,0,0.9930461645126343
4,w1,5,7,0,0.005083680152893066
4,w1,6,7,1,0.9930819869041443
4,w2,0,1,1,1.0001897811889648
4,w2,0,2,0,0.0010668039321899414
4,w2,0,3,0,1.0002191066741943
4,w2,0,4,0,0.0003864765167236328
4,w2,0,5,0,1.0002210140228271
4,w2,0,6,0,0.001089930534362793
4,w2,0,7,0,1.0001909732818604
4,w2,1,2,0,1.0001795291900635
4,w2,1,3,0,0.0017386078834533691
4,w2,1,4,0,1.000192642211914
4,w2,1,5,0,0.0015816688537597656
4,w2,1,6,0,1.0001827478408813
4,w2,1,7,0,0.0015743374824523926
4,w2,2,3,1,1.000208854675293
4,w2,2,4,0,0.0011479854583740234
4,w2,2,5,0,1.0002119541168213
4,w2,2,6,0,0.0011075735092163086
4,w2,2,7,0,1.0001822710037231
4,w2,3,4,0,1.0002233982086182
4,w2,3,5,0,0.0016965866088867188
4,w2,3,6,0,1.0002094507217407
4,w2,3,7,0,0.001714468002319336
4,w2,4,5,1,1.0002261400222778
4,w2,4,6,0,0.0011763572692871094
4,w2,4,7,0,1.000194787979126
4,w2,5,6,0,1.0002115964889526
4,w2,5,7,0,0.0015106201171875
4,w2,6,7,1,1.00018310546875
4,w3,0,1,1,0.9998338222503662
4,w3,0,2,0,0.004814803600311279
4,w3,0,3,0,0.9998795390129089
4,w3,0,4,0,0.002245187759399414
4,w3,0,5,0,0.999872624874115
4,w3,0,6,0,0.004893660545349121
4,w3,0,7,0,0.9999094605445862
4,w3,1,2,0,0.999815821647644
4,w3,1,3,0,0.007401704788208008
4,w3,1,4,0,0.9997998476028442
4,w3,1,5,0,0.006717383861541748
4,w3,1,6,0,0.9998655319213867
4,w3,1,7,0,0.006721615791320801
4,w3,2,3,1,0.9998738169670105
4,w3,2,4,0,0.005109548568725586
4,w3,2,5,0,0.9998522996902466
4,w3,2,6,0,0.004875600337982178
4,w3,2,7,0,0.9998927712440491
4,w3,3,4,0,0.9998700022697449
4,w3,3,5,0,0.007191896438598633
4,w3,3,6,0,0.999919056892395
4,w3,3,7,0,0.007267773151397705
4,w3,4,5,1,0.9998378753662109
4,w3,4,6,0,0.005193114280700684
4,w3,4,7,0,0.999886155128479
4,w3,5,6,0,0.9999039173126221
4,w3,5,7,0,0.0064206719398498535
4,w3,6,7,1,0.999935507774353
5,w1,0,1,1,0.993349015712738
5,w1,0,2,0,0.005797922611236572
5,w1,0,3,0,0.9933693408966064
5,w1,0,4,0,0.004323601722717285
5,w1,0,5,0,0.9932984709739685
5,w1,0,6,0,0.005117297172546387
5,w1,0,7,0,0.9933753609657288
5,w1,1,2,0,0.9933488965034485
5,w1,1,3,0,0.004821062088012695
5,w1,1,4,0,0.9933486580848694
5,w1,1,5,0,0.0055051445960998535
5,w1,1,6,0,0.9932718873023987
5,w1,1,7,0,0.004011988639831543
5,w1,2,3,1,0.9933605194091797
5,w1,2,4,0,0.004364073276519775
5,w1,2,5,0,0.9932803511619568
5,w1,2,6,0,0.005603432655334473
5,w1,2,7,0,0.9933595061302185
5,w1,3,4,0,0.9933616518974304
5,w1,3,5,0,0.0056754350662231445
5,w1,3,6,0,0.9932940602302551
5,w1,3,7,0,0.004052281379699707
5,w1,4,5,1,0.9932892918586731
5,w1,4,6,0,0.004286527633666992
5,w1,4,7,0,0.9933649897575378
5,w1,5,6,0,0.9932260513305664
5,w1,5,7,0,0.004141390323638916
5,w1,6,7,1,0.9933038949966431
5,w2,0,1,1,1.0001908540725708
5,w2,0,2,0,0.0015561580657958984
5,w2,0,3,0,1.0001726150512695
5,w2,0,4,0,0.0011137127876281738
5,w2,0,5,0,1.000175952911377
5,w2,0,6,0,0.0013469457626342773
5,w2,0,7,0,1.0001927614212036
5,w2,1,2,0,1.000189185142517
5,w2,1,3,0,0.001286327838897705
5,w2,1,4,0,1.0001782178878784
5,w2,1,5,0,0.0014955997467041016
5,w2,1,6,0,1.000206708908081
5,w2,1,7,0,0.0010371804237365723
5,w2,2,3,1,1.0001730918884277
5,w2,2,4,0,0.0011289715766906738
5,w2,2,5,0,1.0001765489578247
5,w2,2,6,0,0.001492142677307129
5,w2,2,7,0,1.0001940727233887
5,w2,3,4,0,1.0001602172851562
5,w2,3,5,0,0.0015537738800048828
5,w2,3,6,0,1.0001907348632812
5,w2,3,7,0,0.001055598258972168
5,w2,4,5,1,1.000164270401001
5,w2,4,6,0,0.0010966062545776367
5,w2,4,7,0,1.0001827478408813
5,w2,5,6,0,1.000192642211914
5,w2,5,7,0,0.001087784767150879
5,w2,6,7,1,1.000211238861084
5,w3,0,1,1,0.9996867179870605
5,w3,0,2,0,0.00660330057144165
5,w3,0,3,0,0.9996455311775208
5,w3,0,4,0,0.0049446821212768555
5,w3,0,5,0,0.999637246131897
5,w3,0,6,0,0.0057985782623291016
5,w3,0,7,0,0.9996713995933533
5,w3,1,2,0,0.9996111989021301
5,w3,1,3,0,0.005570173263549805
5,w3,1,4,0,0.9996397495269775
5,w3,1,5,0,0.006379842758178711
5,w3,1,6,0,0.999695897102356
5,w3,1,7,0,0.00471186637878418
5,w3,2,3,1,0.9995647072792053
5,w3,2,4,0,0.005023479461669922
5,w3,2,5,0,0.9995520114898682
5,w3,2,6,0,0.006354212760925293
5,w3,2,7,0,0.9995880126953125
5,w3,3,4,0,0.9995916485786438
5,w3,3,5,0,0.006600379943847656
5,w3,3,6,0,0.9996460676193237
5,w3,3,7,0,0.004773139953613281
5,w3,4,5,1,0.9995853304862976
5,w3,4,6,0,0.004887104034423828
5,w3,4,7,0,0.9996293187141418
5,w3,5,6,0,0.9996321797370911
5,w3,5,7,0,0.0049086809158325195
5,w3,6,7,1,0.9996697902679443
6,w1,0,1,1,0.9939208030700684
6,w1,0,2,0,0.004172682762145996
6,w1,0,3,0,0.9938375949859619
6,w1,0,4,0,0.005428910255432129
6,w1,0,5,0,0.9938369989395142
6,w1,0,6,0,0.0054759979248046875
6,w1,0,7,0,0.9938445091247559
6,w1,1,2,0,0.9940237402915955
6,w1,1,3,0,0.004473328590393066
6,w1,1,4,0,0.9939278364181519
6,w1,1,5,0,0.004442811012268066
6,w1,1,6,0,0.9939542412757874
6,w1,1,7,0,0.004455924034118652
6,w1,2,3,1,0.9939471483230591
6,w1,2,4,0,0.004159092903137207
6,w1,2,5,0,0.993943989276886
6,w1,2,6,0,0.004160821437835693
6,w1,2,7,0,0.9939498901367188
6,w1,3,4,0,0.9938414096832275
6,w1,3,5,0,0.005610466003417969
6,w1,3,6,0,0.9938778281211853
6,w1,3,7,0,0.005397677421569824
6,w1,4,5,1,0.9938479661941528
6,w1,4,6,0,0.005303859710693359
6,w1,4,7,0,0.9938542246818542
6,w1,5,6,0,0.9938744306564331
6,w1,5,7,0,0.0056264400482177734
6,w1,6,7,1,0.9938720464706421
6,w2,0,1,1,0.9991541504859924
6,w2,0,2,0,0.0010758638381958008
6,w2,0,3,0,0.9991372227668762
6,w2,0,4,0,0.0014537572860717773
6,w2,0,5,0,0.9991273880004883
6,w2,0,6,0,0.0014606118202209473
6,w2,0,7,0,0.9991554617881775
6,w2,1,2,0,0.9991685152053833
6,w2,1,3,0,0.0011376738548278809
6,w2,1,4,0,0.9992126822471619
6,w2,1,5,0,0.0011255741119384766
6,w2,1,6,0,0.9991869926452637
6,w2,1,7,0,0.0011354684829711914
6,w2,2,3,1,0.9991498589515686
6,w2,2,4,0,0.0010712146759033203
6,w2,2,5,0,0.9991405010223389
6,w2,2,6,0,0.0010720491409301758
6,w2,2,7,0,0.9991682767868042
6,w2,3,4,0,0.9991951584815979
6,w2,3,5,0,0.0014740228652954102
6,w2,3,6,0,0.9991689920425415
6,w2,3,7,0,0.001414954662322998
6,w2,4,5,1,0.9991825222969055
6,w2,4,6,0,0.0014064311981201172
6,w2,4,7,0,0.999212384223938
6,w2,5,6,0,0.9991596341133118
6,w2,5,7,0,0.0014829635620117188
6,w2,6,7,1,0.9991880655288696
6,w3,0,1,1,1.0008702278137207
6,w3,0,2,0,0.004921972751617432
6,w3,0,3,0,1.000869870185852
6,w3,0,4,0,0.006326735019683838
6,w3,0,5,0,1.0008515119552612
6,w3,0,6,0,0.006378054618835449
6,w3,0,7,0,1.0009080171585083
6,w3,1,2,0,1.0009088516235352
6,w3,1,3,0,0.005218029022216797
6,w3,1,4,0,1.000905990600586
6,w3,1,5,0,0.0051839351654052734
6,w3,1,6,0,1.0008622407913208
6,w3,1,7,0,0.005200386047363281
6,w3,2,3,1,1.0009181499481201
6,w3,2,4,0,0.004903554916381836
6,w3,2,5,0,1.0008915662765503
6,w3,2,6,0,0.004920899868011475
6,w3,2,7,0,1.0009524822235107
6,w3,3,4,0,1.0009093284606934
6,w3,3,5,0,0.006468534469604492
6,w3,3,6,0,1.0008727312088013
6,w3,3,7,0,0.006213545799255371
6,w3,4,5,1,1.0008958578109741
6,w3,4,6,0,0.006179332733154297
6,w3,4,7,0,1.0009459257125854
6,w3,5,6,0,1.0008543729782104
6,w3,5,7,0,0.006483912467956543
6,w3,6,7,1,1.000914216041565
7,w1,0,1,1,0.9941664338111877
7,w1,0,2,0,0.0057375431060791016
7,w1,0,3,0,0.9941232800483704
7,w1,0,4,0,0.006020665168762207
7,w1,0,5,0,0.9941052198410034
7,w1,0,6,0,0.005778372287750244
7,w1,0,7,0,0.9940933585166931
7,w1,1,2,0,0.9941861033439636
7,w1,1,3,0,0.005379319190979004
7,w1,1,4,0,0.9941775798797607
7,w1,1,5,0,0.005440413951873779
7,w1,1,6,0,0.9941797256469727
