layer,entropy,length,top1,top2_a,top2_b,top2_same_pair,logits_json
0,0.20000000298023224,15.0,1,1,4,0,"[-0.054691627621650696, 0.6815756559371948, -0.36868056654930115, -0.17557182908058167, 0.5500005483627319, -0.20384344458580017, -0.34152838587760925, 0.45165497064590454]"
0,0.20000000298023224,16.0,1,1,4,0,"[-0.05880116671323776, 0.7446050643920898, -0.3840857148170471, -0.18406039476394653, 0.6029261350631714, -0.21481214463710785, -0.3644084632396698, 0.4977304935455322]"
0,0.25,1.0,0,0,6,0,"[0.0026364754885435104, -0.1976843923330307, -0.15377846360206604, -0.057156406342983246, -0.18831120431423187, -0.05082998424768448, -0.022351454943418503, -0.1910989135503769]"
0,0.25,2.0,0,0,6,0,"[-0.0014730659313499928, -0.13465499877929688, -0.1691836416721344, -0.06564496457576752, -0.1353856325149536, -0.061798691749572754, -0.045231521129608154, -0.145023375749588]"
0,0.25,3.0,0,0,6,0,"[-0.005582607816904783, -0.07162560522556305, -0.18458878993988037, -0.07413352280855179, -0.08246004581451416, -0.07276739925146103, -0.06811158359050751, -0.09894783049821854]"
0,0.25,4.0,1,1,0,1,"[-0.009692149236798286, -0.008596211671829224, -0.19999396800994873, -0.08262208849191666, -0.0295344740152359, -0.0837361067533493, -0.09099166095256805, -0.05287227779626846]"
0,0.25,5.0,1,1,4,0,"[-0.013801688328385353, 0.054433196783065796, -0.2153991460800171, -0.09111064672470093, 0.02339109778404236, -0.09470481425523758, -0.11387172341346741, -0.00679672509431839]"
0,0.25,6.0,1,1,4,0,"[-0.017911231145262718, 0.11746257543563843, -0.23080429434776306, -0.0995992049574852, 0.07631668448448181, -0.10567351430654526, -0.13675180077552795, 0.03927880525588989]"
0,0.25,7.0,1,1,4,0,"[-0.022020773962140083, 0.18049195408821106, -0.24620947241783142, -0.10808777064085007, 0.12924225628376007, -0.11664222925901413, -0.1596318781375885, 0.08535435795783997]"
0,0.25,8.0,1,1,4,0,"[-0.02613031305372715, 0.24352136254310608, -0.2616146504878998, -0.11657632887363434, 0.18216784298419952, -0.1276109218597412, -0.18251194059848785, 0.13142991065979004]"
0,0.25,9.0,1,1,4,0,"[-0.030239855870604515, 0.3065507709980011, -0.27701979875564575, -0.1250648945569992, 0.23509342968463898, -0.13857963681221008, -0.2053920030593872, 0.1775054633617401]"
0,0.25,10.0,1,1,4,0,"[-0.03434939682483673, 0.36958014965057373, -0.2924249768257141, -0.13355346024036407, 0.28801894187927246, -0.14954833686351776, -0.22827208042144775, 0.22358101606369019]"
0,0.25,11.0,1,1,4,0,"[-0.038458939641714096, 0.43260955810546875, -0.30783015489578247, -0.14204201102256775, 0.3409445285797119, -0.16051705181598663, -0.2511521279811859, 0.26965653896331787]"
0,0.25,12.0,1,1,4,0,"[-0.04256848245859146, 0.49563896656036377, -0.32323530316352844, -0.15053057670593262, 0.39387011528015137, -0.1714857518672943, -0.2740321755409241, 0.31573206186294556]"
0,0.25,13.0,1,1,4,0,"[-0.04667802155017853, 0.5586683750152588, -0.3386404812335968, -0.15901914238929749, 0.4467957019805908, -0.18245446681976318, -0.2969122529029846, 0.361807644367218]"
0,0.25,14.0,1,1,4,0,"[-0.05078756436705589, 0.6216976642608643, -0.35404565930366516, -0.16750769317150116, 0.4997212290763855, -0.19342316687107086, -0.31979233026504517, 0.4078831672668457]"
0,0.25,15.0,1,1,4,0,"[-0.05489710345864296, 0.6847270727157593, -0.36945080757141113, -0.17599625885486603, 0.552646815776825, -0.20439188182353973, -0.3426723778247833, 0.45395874977111816]"
0,0.25,16.0,1,1,4,0,"[-0.059006646275520325, 0.7477564811706543, -0.3848559856414795, -0.1844848245382309, 0.6055724024772644, -0.2153605818748474, -0.36555245518684387, 0.5000342726707458]"
0,0.30000001192092896,1.0,0,0,6,0,"[0.0024309982545673847, -0.19453293085098267, -0.1545487344264984, -0.05758083611726761, -0.18566492199897766, -0.05137842148542404, -0.02349545806646347, -0.18879513442516327]"
0,0.30000001192092896,2.0,0,0,6,0,"[-0.0016785431653261185, -0.13150352239608765, -0.16995388269424438, -0.06606939435005188, -0.1327393501996994, -0.06234712898731232, -0.04637552425265312, -0.1427195966243744]"
0,0.30000001192092896,3.0,0,0,1,1,"[-0.005788084585219622, -0.06847413629293442, -0.18535906076431274, -0.07455795258283615, -0.07981377094984055, -0.07331583648920059, -0.06925559043884277, -0.09664405137300491]"
0,0.30000001192092896,4.0,1,1,0,1,"[-0.00989762507379055, -0.005444735288619995, -0.2007642388343811, -0.08304651826620102, -0.026888199150562286, -0.08428454399108887, -0.09213566780090332, -0.05056849867105484]"
0,0.30000001192092896,5.0,1,1,4,0,"[-0.014007166028022766, 0.057584673166275024, -0.21616938710212708, -0.09153507649898529, 0.02603738009929657, -0.09525325149297714, -0.11501573026180267, -0.004492945969104767]"
0,0.30000001192092896,6.0,1,1,4,0,"[-0.01811670884490013, 0.12061405181884766, -0.23157456517219543, -0.10002363473176956, 0.07896296679973602, -0.10622195154428482, -0.13789579272270203, 0.041582584381103516]"
0,0.30000001192092896,7.0,1,1,4,0,"[-0.022226249799132347, 0.1836434304714203, -0.2469797432422638, -0.10851220041513443, 0.1318885236978531, -0.1171906590461731, -0.16077587008476257, 0.08765813708305359]"
