layer,base_key,entropy,top1,top2_a,top2_b,top2_same_pair,logits_json
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.44999998807907104,0,0,6,0,"[0.0020374073646962643, -0.10987234115600586, -0.0741933286190033, -0.0270927045494318, -0.10341757535934448, -0.023495469242334366, -0.007171714678406715, -0.10361267626285553]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.4599999785423279,0,0,6,0,"[0.0019963120575994253, -0.10924205183982849, -0.07434737682342529, -0.027177589014172554, -0.102888323366642, -0.02360515668988228, -0.007400515489280224, -0.10315192490816116]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.4699999988079071,0,0,6,0,"[0.0019552167505025864, -0.10861175507307053, -0.07450143247842789, -0.027262475341558456, -0.10235906392335892, -0.023714842274785042, -0.007629316300153732, -0.1026911661028862]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.47999998927116394,0,0,6,0,"[0.0019141212105751038, -0.10798145830631256, -0.07465548068284988, -0.02734735980629921, -0.10182981193065643, -0.023824529722332954, -0.00785811711102724, -0.10223041474819183]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.4899999797344208,0,0,6,0,"[0.0018730259034782648, -0.10735116899013519, -0.07480953633785248, -0.027432246133685112, -0.10130055248737335, -0.023934217169880867, -0.00808691792190075, -0.10176965594291687]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.5,0,0,6,0,"[0.0018319303635507822, -0.10672087222337723, -0.07496358454227448, -0.027517132461071014, -0.10077130049467087, -0.02404390461742878, -0.008315718732774258, -0.1013088971376419]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.5099999904632568,0,0,6,0,"[0.0017908350564539433, -0.10609057545661926, -0.07511764019727707, -0.027602016925811768, -0.10024204105138779, -0.024153590202331543, -0.008544519543647766, -0.10084814578294754]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.5199999809265137,0,0,6,0,"[0.0017497395165264606, -0.1054602861404419, -0.07527168840169907, -0.02768690325319767, -0.0997127890586853, -0.024263277649879456, -0.0087733194231987, -0.10038739442825317]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.5299999713897705,0,0,6,0,"[0.0017086442094296217, -0.10482999682426453, -0.07542574405670166, -0.027771789580583572, -0.09918352961540222, -0.024372965097427368, -0.009002120234072208, -0.09992663562297821]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.5399999618530273,0,0,6,0,"[0.0016675489023327827, -0.10419970005750656, -0.07557979226112366, -0.027856674045324326, -0.09865427762269974, -0.02448265254497528, -0.009230921044945717, -0.09946587681770325]"
