layer,matrix,expert_i,expert_j,same_original_pair,cosine_distance
1,w2,6,7,1,1.0001791715621948
1,w3,0,1,1,0.9996405839920044
1,w3,0,2,0,0.00060272216796875
1,w3,0,3,0,0.9996601939201355
1,w3,0,4,0,0.004789292812347412
1,w3,0,5,0,0.9996815919876099
1,w3,0,6,0,0.004461765289306641
1,w3,0,7,0,0.9997103214263916
1,w3,1,2,0,0.9996248483657837
1,w3,1,3,0,0.00511479377746582
1,w3,1,4,0,0.9996061325073242
1,w3,1,5,0,0.004672825336456299
1,w3,1,6,0,0.9996892809867859
1,w3,1,7,0,0.0051767826080322266
1,w3,2,3,1,0.9996467232704163
1,w3,2,4,0,0.0046541690826416016
1,w3,2,5,0,0.9996666312217712
1,w3,2,6,0,0.004310965538024902
1,w3,2,7,0,0.9996961951255798
1,w3,3,4,0,0.9996287822723389
1,w3,3,5,0,0.0013751983642578125
1,w3,3,6,0,0.9997128248214722
1,w3,3,7,0,0.00502467155456543
1,w3,4,5,1,0.9996509552001953
1,w3,4,6,0,0.007196545600891113
1,w3,4,7,0,0.9996698498725891
1,w3,5,6,0,0.9997313022613525
1,w3,5,7,0,0.004587352275848389
1,w3,6,7,1,0.9997642040252686
2,w1,0,1,1,0.9918277263641357
2,w1,0,2,0,6.091594696044922e-05
2,w1,0,3,0,0.9919000267982483
2,w1,0,4,0,0.00048214197158813477
2,w1,0,5,0,0.9918615818023682
2,w1,0,6,0,0.0030549168586730957
2,w1,0,7,0,0.9918357729911804
2,w1,1,2,0,0.9918298125267029
2,w1,1,3,0,0.0034089088439941406
2,w1,1,4,0,0.9918191432952881
2,w1,1,5,0,0.0033444762229919434
2,w1,1,6,0,0.9918068647384644
2,w1,1,7,0,0.0003546476364135742
2,w1,2,3,1,0.9919021129608154
2,w1,2,4,0,0.0005325078964233398
2,w1,2,5,0,0.991866946220398
2,w1,2,6,0,0.003102898597717285
2,w1,2,7,0,0.9918381571769714
2,w1,3,4,0,0.9918882846832275
2,w1,3,5,0,0.002852797508239746
2,w1,3,6,0,0.9918714761734009
2,w1,3,7,0,0.003240644931793213
2,w1,4,5,1,0.9918531179428101
2,w1,4,6,0,0.0035025477409362793
2,w1,4,7,0,0.9918256402015686
2,w1,5,6,0,0.9918308854103088
2,w1,5,7,0,0.003221750259399414
2,w1,6,7,1,0.9918150305747986
2,w2,0,1,1,1.0001565217971802
2,w2,0,2,0,-0.0001571178436279297
2,w2,0,3,0,1.0001672506332397
2,w2,0,4,0,-9.655952453613281e-06
2,w2,0,5,0,1.0001271963119507
2,w2,0,6,0,0.0008572936058044434
2,w2,0,7,0,1.0001683235168457
2,w2,1,2,0,1.0001600980758667
2,w2,1,3,0,0.0009362697601318359
2,w2,1,4,0,1.0001554489135742
2,w2,1,5,0,0.0009014606475830078
2,w2,1,6,0,1.000151515007019
2,w2,1,7,0,-5.996227264404297e-05
2,w2,2,3,1,1.0001709461212158
2,w2,2,4,0,1.0669231414794922e-05
2,w2,2,5,0,1.000131368637085
2,w2,2,6,0,0.0008744001388549805
2,w2,2,7,0,1.0001720190048218
2,w2,3,4,0,1.000166654586792
2,w2,3,5,0,0.0007454752922058105
2,w2,3,6,0,1.000164270401001
2,w2,3,7,0,0.0008808374404907227
2,w2,4,5,1,1.0001263618469238
2,w2,4,6,0,0.0010117888450622559
2,w2,4,7,0,1.0001673698425293
2,w2,5,6,0,1.000123143196106
2,w2,5,7,0,0.0008637309074401855
2,w2,6,7,1,1.0001634359359741
2,w3,0,1,1,0.9996512532234192
2,w3,0,2,0,0.00013071298599243164
2,w3,0,3,0,0.999685525894165
2,w3,0,4,0,0.0006812810897827148
2,w3,0,5,0,0.9997413754463196
2,w3,0,6,0,0.004007220268249512
2,w3,0,7,0,0.9996069669723511
2,w3,1,2,0,0.9996367692947388
2,w3,1,3,0,0.004325926303863525
2,w3,1,4,0,0.9996683597564697
2,w3,1,5,0,0.004274249076843262
2,w3,1,6,0,0.9997023344039917
2,w3,1,7,0,0.0004911422729492188
2,w3,2,3,1,0.9996730089187622
2,w3,2,4,0,0.0007526874542236328
2,w3,2,5,0,0.999728262424469
2,w3,2,6,0,0.004071354866027832
2,w3,2,7,0,0.9995947480201721
2,w3,3,4,0,0.9997010231018066
2,w3,3,5,0,0.003622293472290039
2,w3,3,6,0,0.9997273683547974
2,w3,3,7,0,0.004107475280761719
2,w3,4,5,1,0.9997571110725403
2,w3,4,6,0,0.00460052490234375
2,w3,4,7,0,0.9996280074119568
2,w3,5,6,0,0.9997819066047668
2,w3,5,7,0,0.004122495651245117
2,w3,6,7,1,0.9996536374092102
3,w1,0,1,1,0.9915668368339539
3,w1,0,2,0,0.003906726837158203
3,w1,0,3,0,0.9916707277297974
3,w1,0,4,0,0.0039275288581848145
3,w1,0,5,0,0.9916543364524841
3,w1,0,6,0,0.0038912296295166016
3,w1,0,7,0,0.9916828274726868
3,w1,1,2,0,0.9915436506271362
3,w1,1,3,0,0.0048798322677612305
3,w1,1,4,0,0.9915857315063477
3,w1,1,5,0,0.005581080913543701
3,w1,1,6,0,0.991619348526001
3,w1,1,7,0,0.0057375431060791016
3,w1,2,3,1,0.9916521310806274
3,w1,2,4,0,0.00493234395980835
3,w1,2,5,0,0.9916308522224426
3,w1,2,6,0,0.004576444625854492
3,w1,2,7,0,0.9916490912437439
3,w1,3,4,0,0.9916915893554688
3,w1,3,5,0,0.005629301071166992
3,w1,3,6,0,0.9917200803756714
3,w1,3,7,0,0.005527377128601074
3,w1,4,5,1,0.9916607737541199
3,w1,4,6,0,0.0046138763427734375
3,w1,4,7,0,0.9916922450065613
3,w1,5,6,0,0.9916955232620239
3,w1,5,7,0,0.005961298942565918
3,w1,6,7,1,0.9917210340499878
3,w2,0,1,1,0.9997642040252686
3,w2,0,2,0,0.001207590103149414
3,w2,0,3,0,0.9997568726539612
3,w2,0,4,0,0.0012146234512329102
3,w2,0,5,0,0.9997743368148804
3,w2,0,6,0,0.0012015104293823242
3,w2,0,7,0,0.9997574090957642
3,w2,1,2,0,0.9997122883796692
3,w2,1,3,0,0.0015233755111694336
3,w2,1,4,0,0.9997295141220093
3,w2,1,5,0,0.001772165298461914
3,w2,1,6,0,0.9997339248657227
3,w2,1,7,0,0.0018258094787597656
3,w2,2,3,1,0.9997051954269409
3,w2,2,4,0,0.0015617609024047852
3,w2,2,5,0,0.9997234344482422
3,w2,2,6,0,0.0014371871948242188
3,w2,2,7,0,0.9997032284736633
3,w2,3,4,0,0.9997223019599915
3,w2,3,5,0,0.001781463623046875
