layer,length_axis_std,entropy_axis_std,bias_std,length_axis_l2,entropy_axis_l2,entropy_to_length_l2_ratio,length_entropy_axis_cosine,same_pair_fraction,active_top1_count,active_top2_count,top2_effective_experts,active_top1_experts,active_top2_experts,top1_fraction_by_expert,top2_fraction_by_expert
10,0.028009740635752678,0.03183622285723686,0.03399201110005379,0.07936447113752365,0.14371691644191742,1.810847024897112,-0.6501893401145935,0.0,3,4,3.0519458907159613,"[1, 2, 4]","[0, 1, 2, 4]","[0.0, 0.6898148059844971, 0.14506173133850098, 0.0, 0.16512346267700195, 0.0, 0.0, 0.0]","[0.07137345522642136, 0.42129629850387573, 0.07870370149612427, 0.0, 0.42862653732299805, 0.0, 0.0, 0.0]"
11,0.028253845870494843,0.03172240033745766,0.03125714138150215,0.07998061180114746,0.1168173998594284,1.4605714713694207,-0.7268872857093811,0.0,3,4,3.3885139064512018,"[1, 5, 6]","[1, 3, 5, 6]","[0.0, 0.7029321193695068, 0.0, 0.0, 0.0, 0.1774691343307495, 0.11959876865148544, 0.0]","[0.0, 0.5, 0.0, 0.1905864179134369, 0.0, 0.10030864179134369, 0.20910494029521942, 0.0]"
12,0.0165303573012352,0.019370097666978836,0.01846172660589218,0.05181669816374779,0.0766756609082222,1.4797481048660552,-0.32788413763046265,0.004629629629629629,4,5,3.9285179622212305,"[0, 2, 4, 5]","[0, 1, 2, 4, 5]","[0.15740740299224854, 0.0, 0.6512345671653748, 0.0, 0.1319444477558136, 0.05941358208656311, 0.0, 0.0]","[0.08526234328746796, 0.026620371267199516, 0.38348764181137085, 0.0, 0.3097993731498718, 0.19251543283462524, 0.002314814832061529, 0.0]"
13,0.03213116154074669,0.037697795778512955,0.03882354125380516,0.09249244630336761,0.14373837411403656,1.5540552754176975,-0.843792736530304,0.043209876543209874,4,5,3.6545570316076437,"[2, 4, 5, 6]","[2, 3, 4, 5, 6]","[0.0, 0.0, 0.0347222238779068, 0.0, 0.7739197611808777, 0.05324074253439903, 0.13811728358268738, 0.0]","[0.0, 0.0, 0.39120370149612427, 0.06828703731298447, 0.395061731338501, 0.0590277761220932, 0.08641975373029709, 0.0]"
14,0.02172810770571232,0.026145072653889656,0.02670215256512165,0.06146154925227165,0.11007308214902878,1.7909259282942729,-0.6623989939689636,0.0,3,5,3.725009029225741,"[2, 6, 7]","[2, 4, 5, 6, 7]","[0.0, 0.0, 0.5254629850387573, 0.0, 0.0, 0.0, 0.12962962687015533, 0.34490740299224854]","[0.0, 0.0, 0.44945988059043884, 0.0015432098880410194, 0.09606481343507767, 0.04899691417813301, 0.08410494029521942, 0.3198302388191223]"
15,0.02874690853059292,0.033737652003765106,0.036191217601299286,0.08388487249612808,0.13986466825008392,1.6673407741847581,-0.8149174451828003,0.7978395061728395,2,4,3.0777069224639884,"[2, 7]","[1, 2, 6, 7]","[0.0, 0.0, 0.08796296268701553, 0.0, 0.0, 0.0, 0.0, 0.9120370149612427]","[0.0, 0.06790123134851456, 0.06635802239179611, 0.0, 0.0, 0.007716049440205097, 0.3989197611808777, 0.4591049253940582]"
16,0.026783069595694542,0.029733477160334587,0.030056118965148926,0.07576771825551987,0.10620860755443573,1.40176594992945,-0.7898097038269043,0.0,3,4,3.295182646053006,"[1, 5, 6]","[1, 5, 6, 7]","[0.0, 0.7862654328346252, 0.0, 0.0, 0.0, 0.16126543283462524, 0.05246913433074951, 0.0]","[0.0, 0.5, 0.0, 0.0, 0.0, 0.10648148506879807, 0.27546295523643494, 0.1180555522441864]"
17,0.02684343047440052,0.028217623010277748,0.02968589775264263,0.07594417780637741,0.09926954656839371,1.3071383407624113,-0.8032280206680298,0.0,3,3,2.5751151907267626,"[1, 3, 5]","[1, 3, 5]","[0.0, 0.7577160596847534, 0.0, 0.06635802239179611, 0.0, 0.17592592537403107, 0.0, 0.0]","[0.0, 0.5, 0.0, 0.39814814925193787, 0.0, 0.10185185074806213, 0.0, 0.0]"
18,0.025594906881451607,0.032537225633859634,0.033426761627197266,0.07261461019515991,0.12847597897052765,1.7692855284251205,-0.7490827441215515,0.0,4,5,3.3743937431728717,"[3, 5, 6, 7]","[1, 3, 5, 6, 7]","[0.0, 0.0, 0.0, 0.6103395223617554, 0.0, 0.07561728358268738, 0.1350308656692505, 0.17901234328746796]","[0.0, 0.015432098880410194, 0.0, 0.39120370149612427, 0.0, 0.09490741044282913, 0.07677469402551651, 0.42168208956718445]"
19,0.025816474109888077,0.03067893721163273,0.03233399614691734,0.07303795218467712,0.12560023367404938,1.719657108628512,-0.6649741530418396,0.005401234567901234,2,3,2.566696095161863,"[2, 5]","[2, 5, 6]","[0.0, 0.0, 0.9413580298423767, 0.0, 0.0, 0.05864197388291359, 0.0, 0.0]","[0.0, 0.0, 0.4972993731498718, 0.0, 0.00424382695928216, 0.0833333358168602, 0.41512346267700195, 0.0]"
20,0.021762574091553688,0.026369202882051468,0.028069598600268364,0.06394247710704803,0.10039576888084412,1.5700950826907836,-0.40952497720718384,0.18055555555555555,1,6,3.357683541416564,[2],"[1, 2, 3, 4, 5, 7]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.3337191343307495, 0.5, 0.0902777761220932, 0.0381944440305233, 0.011574073694646358, 0.003086419776082039, 0.023148147389292717]"
21,0.020856091752648354,0.024912511929869652,0.025459855794906616,0.059588704258203506,0.10124727338552475,1.699101778531896,-0.5777580142021179,0.0,3,5,3.920183209494892,"[1, 5, 7]","[0, 1, 3, 5, 7]","[0.0, 0.0625, 0.0, 0.0, 0.0, 0.14429011940956116, 0.0, 0.7932098507881165]","[0.060956791043281555, 0.28317901492118835, 0.0, 0.13117283582687378, 0.0, 0.08564814925193787, 0.0, 0.43904322385787964]"
22,0.02533445879817009,0.03305273503065109,0.03261752426624298,0.07228345423936844,0.13719557225704193,1.8980218045849804,-0.48266372084617615,0.0007716049382716049,1,4,2.863360515575153,[5],"[1, 2, 5, 6]","[0.0, 0.0, 0.0015432098880410194, 0.0, 0.0, 0.9984567761421204, 0.0, 0.0]","[0.0, 0.3777006268501282, 0.09182098507881165, 0.003086419776082039, 0.00038580247201025486, 0.5, 0.027006173506379128, 0.0]"
23,0.010875359177589417,0.021679244935512543,0.02335732989013195,0.07248778641223907,0.15969952940940857,2.2031232751569356,0.7317126393318176,0.0,1,3,2.321113112841088,[3],"[1, 3, 7]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.45601850748062134, 0.0, 0.5, 0.0, 0.0, 0.0, 0.04398148134350777]"
24,0.023061856627464294,0.03177022561430931,0.033624839037656784,0.10768847167491913,0.23190893232822418,2.1535167945208777,0.5423560738563538,0.16589506172839505,1,4,2.8431262057093245,[6],"[1, 2, 6, 7]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.03202160447835922, 0.3827160596847534, 0.0, 0.0, 0.002314814832061529, 0.5, 0.08294752985239029]"
