layer,matrix,mean_pairwise_cosine_distance,mean_within_original_pair_distance,mean_cross_pair_distance,within_minus_cross
8,w2,0.5721723863056728,1.000209003686905,0.5008329500754675,0.49937605361143744
8,w3,0.5742522520678384,1.0003178715705872,0.5032413154840469,0.4970765560865402
9,w1,0.570209767137255,0.9942045658826828,0.49954396734635037,0.49466059853633243
9,w2,0.5717607119253704,0.9996738582849503,0.5004418541987737,0.4992320040861765
9,w3,0.5736949741840363,1.0000310391187668,0.5026389633615812,0.4973920757571856
10,w1,0.5699897025312696,0.9936707764863968,0.49937619020541507,0.4942945862809817
10,w2,0.5722272374800274,1.0004650354385376,0.5008542711536089,0.4996107642849287
10,w3,0.5738676126514163,1.000263899564743,0.5028015648325285,0.4974623347322146
11,w1,0.5696030961615699,0.9926864206790924,0.49908920874198276,0.49359721193710965
11,w2,0.5717807923044477,0.9996095150709152,0.5004760051767031,0.4991335098942121
11,w3,0.5739315301179886,1.0001098811626434,0.5029018049438795,0.49720807621876395
12,w1,0.5703445587839399,0.9938411265611649,0.49976179748773575,0.4940793290734291
12,w2,0.572603376848357,1.001003473997116,0.5012033606568972,0.4998001133402189
12,w3,0.5739674823624747,1.0000378638505936,0.5029557521144549,0.4970821117361387
13,w1,0.5691942210708346,0.9923834651708603,0.49866268038749695,0.49372078478336334
13,w2,0.5717319441693169,0.9996383190155029,0.500414215028286,0.49922410398721695
13,w3,0.574208813054221,1.0010439455509186,0.5030696243047714,0.49797432124614716
14,w1,0.5686731828110558,0.9912291914224625,0.4982471813758214,0.49298201004664105
14,w2,0.5722930090767997,1.0005401968955994,0.5009184777736664,0.499621719121933
14,w3,0.5739798652274268,1.0003429651260376,0.5029193485776583,0.4974236165483793
15,w1,0.5680630441222873,0.9905344098806381,0.4976511498292287,0.4928832600514094
15,w2,0.571430082832064,0.9991161376237869,0.5001490737001101,0.49896706392367685
15,w3,0.5736193422760282,1.0000430643558502,0.5025487219293913,0.49749434242645896
16,w1,0.5682062634399959,0.9904987215995789,0.49782418708006543,0.49267453451951343
16,w2,0.5723285398312977,1.000602513551712,0.5009495442112287,0.4996529693404833
16,w3,0.5734760846410479,0.9994518011808395,0.502480131884416,0.49697166929642356
17,w1,0.5680078736373356,0.9901031851768494,0.4976586550474167,0.4924445301294327
17,w2,0.572117275425366,1.000245839357376,0.500762514770031,0.4994833245873451
17,w3,0.5736338794231415,0.9997552782297134,0.5026136462887129,0.4971416319410006
18,w1,0.5683635473251343,0.9910314381122589,0.4979188988606135,0.4931125392516454
18,w2,0.571857328925814,0.9998699426651001,0.5005218933025996,0.49934804936250055
18,w3,0.573550066777638,0.999889925122261,0.5024934237202009,0.49739650140206015
19,w1,0.5678039406027112,0.9900663644075394,0.49742686996857327,0.4926394944389661
19,w2,0.571695361818586,0.9995895475149155,0.5003796642025312,0.49920988331238425
19,w3,0.5740216459546771,1.0007212162017822,0.5029050509134928,0.4978161652882894
20,w1,0.5692189740283149,0.992332398891449,0.4987000698844592,0.4936323290069898
20,w2,0.5718032824141639,0.9997272491455078,0.5004826212922732,0.49924462785323465
20,w3,0.5742482755865369,1.0009203851222992,0.5031362573305765,0.49778412779172265
21,w1,0.5694362627608436,0.9927572458982468,0.49888276557127637,0.4938744803269704
21,w2,0.5711851162569863,0.9986570924520493,0.49993978689114255,0.4987173055609067
21,w3,0.5733595171145031,0.9994102567434311,0.5023510605096817,0.4970591962337494
22,w1,0.5696941912174225,0.9934152066707611,0.4990740219751994,0.4943411846955617
22,w2,0.5719587015254157,1.0000792443752289,0.5006052777171135,0.4994739666581154
22,w3,0.5737558603286743,1.0003279447555542,0.5026605129241943,0.49766743183135986
23,w1,0.5679430408137185,0.9907650500535965,0.49747270594040555,0.49329234411319095
23,w2,0.5713371975081307,0.9991059303283691,0.5000424087047577,0.49906352162361145
23,w3,0.5728071310690471,0.9991372525691986,0.5017521108190218,0.4973851417501768
24,w1,0.5666256972721645,0.9890676736831665,0.4962187012036641,0.4928489724795024
24,w2,0.571774599807603,1.0000671744346619,0.5003925040364265,0.4996746703982353
24,w3,0.572626490678106,0.9995068609714508,0.5014797622958819,0.49802709867556894
