layer,base_key,entropy,top1,top2_a,top2_b,top2_same_pair,logits_json
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.28999999165534973,6,6,2,0,"[-0.01643800176680088, -0.0335298627614975, -0.003638751804828644, -0.023512311279773712, -0.015056999400258064, -0.019364524632692337, 0.017022360116243362, -0.030790288001298904]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.29999998211860657,6,6,2,0,"[-0.016555799171328545, -0.033591076731681824, -0.0032031992450356483, -0.023605842143297195, -0.015213132835924625, -0.019471772015094757, 0.016704216599464417, -0.030860014259815216]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.3100000023841858,6,6,2,0,"[-0.01667359657585621, -0.03365229442715645, -0.0027676457539200783, -0.02369937300682068, -0.015369267202913761, -0.019579017534852028, 0.01638607308268547, -0.03092973865568638]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.3199999928474426,6,6,2,0,"[-0.016791393980383873, -0.033713508397340775, -0.002332093194127083, -0.023792903870344162, -0.015525400638580322, -0.0196862630546093, 0.016067931428551674, -0.03099946305155754]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.32999998331069946,6,6,2,0,"[-0.016909189522266388, -0.0337747260928154, -0.0018965406343340874, -0.023886434733867645, -0.015681535005569458, -0.01979350857436657, 0.015749789774417877, -0.031069189310073853]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.3400000035762787,6,6,2,0,"[-0.017026986926794052, -0.033835940062999725, -0.0014609871432185173, -0.02397996559739113, -0.015837667509913445, -0.01990075409412384, 0.015431646257638931, -0.031138913705945015]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.3499999940395355,6,6,2,0,"[-0.017144784331321716, -0.03389715775847435, -0.0010254345834255219, -0.024073496460914612, -0.01599380187690258, -0.02000799961388111, 0.01511350367218256, -0.031208638101816177]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.35999998450279236,6,6,2,0,"[-0.01726258173584938, -0.033958371728658676, -0.000589882954955101, -0.024167027324438095, -0.016149934381246567, -0.020115245133638382, 0.014795361086726189, -0.03127836436033249]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.3700000047683716,6,6,2,0,"[-0.017380379140377045, -0.0340195894241333, -0.00015432760119438171, -0.02426055818796158, -0.016306068748235703, -0.020222490653395653, 0.014477217569947243, -0.0313480868935585]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.3799999952316284,6,6,2,0,"[-0.01749817654490471, -0.03408080339431763, 0.0002812240272760391, -0.02435408905148506, -0.016462203115224838, -0.020329736173152924, 0.014159075915813446, -0.031417813152074814]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.38999998569488525,6,6,2,0,"[-0.017615973949432373, -0.03414201736450195, 0.00071677565574646, -0.024447619915008545, -0.016618335619568825, -0.020436983555555344, 0.013840933330357075, -0.031487539410591125]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.3999999761581421,6,6,2,0,"[-0.017733771353960037, -0.03420323505997658, 0.00115232914686203, -0.024541150778532028, -0.01677446998655796, -0.020544227212667465, 0.013522790744900703, -0.03155726194381714]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.4099999964237213,6,6,2,0,"[-0.0178515687584877, -0.034264449030160904, 0.0015878826379776, -0.02463468164205551, -0.016930602490901947, -0.020651474595069885, 0.013204647228121758, -0.03162698820233345]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.41999998688697815,6,6,2,0,"[-0.017969366163015366, -0.03432566672563553, 0.002023434266448021, -0.024728212505578995, -0.017086736857891083, -0.020758720114827156, 0.012886504642665386, -0.03169671446084976]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.429999977350235,6,6,2,0,"[-0.01808716170489788, -0.034386880695819855, 0.002458987757563591, -0.024821743369102478, -0.01724287122488022, -0.020865965634584427, 0.01256836298853159, -0.031766436994075775]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.4399999976158142,6,6,2,0,"[-0.018204959109425545, -0.03444809839129448, 0.002894541248679161, -0.02491527423262596, -0.017399005591869354, -0.020973211154341698, 0.012250219471752644, -0.03183616325259209]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.44999998807907104,6,6,2,0,"[-0.01832275651395321, -0.034509312361478806, 0.003330092877149582, -0.025008805096149445, -0.01755513809621334, -0.02108045667409897, 0.011932076886296272, -0.0319058895111084]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.4599999785423279,6,6,2,0,"[-0.018440553918480873, -0.03457053005695343, 0.003765646368265152, -0.025102335959672928, -0.017711270600557327, -0.02118770219385624, 0.011613934300839901, -0.03197561204433441]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.4699999988079071,6,6,2,0,"[-0.018558351323008537, -0.034631744027137756, 0.004201199859380722, -0.02519586682319641, -0.017867404967546463, -0.02129494771361351, 0.011295790784060955, -0.03204533830285072]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.47999998927116394,6,6,2,0,"[-0.0186761487275362, -0.03469295799732208, 0.004636751487851143, -0.025289397686719894, -0.0180235393345356, -0.02140219323337078, 0.010977649129927158, -0.032115060836076736]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.4899999797344208,6,6,2,0,"[-0.018793944269418716, -0.03475417569279671, 0.005072304978966713, -0.025382928550243378, -0.018179673701524734, -0.021509438753128052, 0.010659506544470787, -0.03218478709459305]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.5,6,6,2,0,"[-0.01891174167394638, -0.03481538966298103, 0.005507858470082283, -0.02547645941376686, -0.01833580620586872, -0.021616686135530472, 0.010341363027691841, -0.03225451335310936]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.5099999904632568,6,6,2,0,"[-0.019029539078474045, -0.03487660735845566, 0.005943410098552704, -0.025569990277290344, -0.018491940572857857, -0.021723929792642593, 0.010023221373558044, -0.03232423588633537]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.5199999809265137,6,6,2,0,"[-0.01914733648300171, -0.034937821328639984, 0.006378963589668274, -0.025663521140813828, -0.018648073077201843, -0.021831177175045013, 0.009705077856779099, -0.032393962144851685]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.5299999713897705,6,6,2,0,"[-0.019265133887529373, -0.03499903902411461, 0.006814515218138695, -0.02575705200433731, -0.01880420744419098, -0.021938420832157135, 0.009386936202645302, -0.032463688403367996]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.5399999618530273,6,6,2,0,"[-0.019382931292057037, -0.035060252994298935, 0.007250068709254265, -0.025850582867860794, -0.018960341811180115, -0.022045668214559555, 0.009068792685866356, -0.03253341093659401]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.550000011920929,6,6,2,0,"[-0.0195007286965847, -0.03512147068977356, 0.007685624063014984, -0.025944113731384277, -0.01911647617816925, -0.022152913734316826, 0.00875064916908741, -0.03260313719511032]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.5600000023841858,6,6,2,0,"[-0.019618526101112366, -0.035182684659957886, 0.008121175691485405, -0.02603764459490776, -0.019272608682513237, -0.022260159254074097, 0.008432507514953613, -0.03267286345362663]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.5699999928474426,2,2,6,0,"[-0.01973632350564003, -0.03524389863014221, 0.008556727319955826, -0.026131175458431244, -0.019428741186857224, -0.022367404773831367, 0.008114363998174667, -0.032742585986852646]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.5799999833106995,2,2,6,0,"[-0.019854120910167694, -0.03530511632561684, 0.008992280811071396, -0.026224706321954727, -0.01958487555384636, -0.02247465029358864, 0.007796222344040871, -0.03281231224536896]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.5899999737739563,2,2,6,0,"[-0.01997191645205021, -0.03536633029580116, 0.009427832439541817, -0.02631823718547821, -0.019741009920835495, -0.02258189581334591, 0.007478078827261925, -0.03288203477859497]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.5999999642372131,2,2,6,0,"[-0.020089713856577873, -0.03542754799127579, 0.009863385930657387, -0.026411768049001694, -0.01989714242517948, -0.02268914133310318, 0.007159937173128128, -0.03295176103711128]"
0,model.global_transformer.layers.0.feed_forward.patch_feature_router,0.6100000143051147,2,2,6,0,"[-0.020207511261105537, -0.035488761961460114, 0.010298941284418106, -0.026505298912525177, -0.020053276792168617, -0.0227963887155056, 0.006841793656349182, -0.033021487295627594]"
