layer,base_key,expert,entropy_slope,bias,slope_rank_low_to_high
14,model.global_transformer.layers.14.feed_forward.patch_length_router,4,0.0027488276828080416,0.005272733513265848,7
14,model.global_transformer.layers.14.feed_forward.patch_length_router,5,0.0010462263599038124,-0.005463243927806616,4
14,model.global_transformer.layers.14.feed_forward.patch_length_router,6,-0.001492415089160204,0.000389783235732466,2
14,model.global_transformer.layers.14.feed_forward.patch_length_router,7,-0.002268996322527528,-0.003236512653529644,1
15,model.global_transformer.layers.15.feed_forward.patch_feature_router,0,-0.01083191018551588,-0.011978819034993649,3
15,model.global_transformer.layers.15.feed_forward.patch_feature_router,1,-0.011698230169713497,-0.010463881306350231,1
15,model.global_transformer.layers.15.feed_forward.patch_feature_router,2,-0.01091231219470501,-0.011979923583567142,2
15,model.global_transformer.layers.15.feed_forward.patch_feature_router,3,-0.010433146730065346,-0.012765511870384216,4
15,model.global_transformer.layers.15.feed_forward.patch_feature_router,4,0.02411056123673916,0.02543514221906662,7
15,model.global_transformer.layers.15.feed_forward.patch_feature_router,5,-0.010212483815848827,-0.013131063431501389,5
15,model.global_transformer.layers.15.feed_forward.patch_feature_router,6,-0.01560376025736332,0.0033096130937337875,0
15,model.global_transformer.layers.15.feed_forward.patch_feature_router,7,-0.006224671378731728,-0.019284958019852638,6
15,model.global_transformer.layers.15.feed_forward.patch_length_router,0,-0.01083191018551588,-0.011978819034993649,3
15,model.global_transformer.layers.15.feed_forward.patch_length_router,1,-0.011698230169713497,-0.010463881306350231,1
15,model.global_transformer.layers.15.feed_forward.patch_length_router,2,-0.01091231219470501,-0.011979923583567142,2
15,model.global_transformer.layers.15.feed_forward.patch_length_router,3,-0.010433146730065346,-0.012765511870384216,4
15,model.global_transformer.layers.15.feed_forward.patch_length_router,4,0.02411056123673916,0.02543514221906662,7
15,model.global_transformer.layers.15.feed_forward.patch_length_router,5,-0.010212483815848827,-0.013131063431501389,5
15,model.global_transformer.layers.15.feed_forward.patch_length_router,6,-0.01560376025736332,0.0033096130937337875,0
15,model.global_transformer.layers.15.feed_forward.patch_length_router,7,-0.006224671378731728,-0.019284958019852638,6
16,model.global_transformer.layers.16.feed_forward.patch_feature_router,0,0.0017483807168900967,-0.0014275502180680633,6
16,model.global_transformer.layers.16.feed_forward.patch_feature_router,1,0.0073566734790802,-0.00014835594629403204,7
16,model.global_transformer.layers.16.feed_forward.patch_feature_router,2,-0.0007697317632846534,-0.000786345626693219,3
16,model.global_transformer.layers.16.feed_forward.patch_feature_router,3,0.0006857751286588609,-0.00088976148981601,4
16,model.global_transformer.layers.16.feed_forward.patch_feature_router,4,-0.0021610839758068323,-0.0008561015711165965,1
16,model.global_transformer.layers.16.feed_forward.patch_feature_router,5,-0.00705706886947155,-0.0010506801772862673,0
16,model.global_transformer.layers.16.feed_forward.patch_feature_router,6,-0.0013621922116726637,-0.0008405707194469869,2
16,model.global_transformer.layers.16.feed_forward.patch_feature_router,7,0.0013673140201717615,0.010293636471033096,5
16,model.global_transformer.layers.16.feed_forward.patch_length_router,0,0.0017483807168900967,-0.0014275502180680633,6
16,model.global_transformer.layers.16.feed_forward.patch_length_router,1,0.0073566734790802,-0.00014835594629403204,7
16,model.global_transformer.layers.16.feed_forward.patch_length_router,2,-0.0007697317632846534,-0.000786345626693219,3
16,model.global_transformer.layers.16.feed_forward.patch_length_router,3,0.0006857751286588609,-0.00088976148981601,4
16,model.global_transformer.layers.16.feed_forward.patch_length_router,4,-0.0021610839758068323,-0.0008561015711165965,1
16,model.global_transformer.layers.16.feed_forward.patch_length_router,5,-0.00705706886947155,-0.0010506801772862673,0
16,model.global_transformer.layers.16.feed_forward.patch_length_router,6,-0.0013621922116726637,-0.0008405707194469869,2
16,model.global_transformer.layers.16.feed_forward.patch_length_router,7,0.0013673140201717615,0.010293636471033096,5
17,model.global_transformer.layers.17.feed_forward.patch_feature_router,0,0.0046667419373989105,-0.004318857565522194,6
17,model.global_transformer.layers.17.feed_forward.patch_feature_router,1,0.006548221688717604,0.006488257087767124,7
17,model.global_transformer.layers.17.feed_forward.patch_feature_router,2,0.0032381275668740273,0.006063937209546566,4
17,model.global_transformer.layers.17.feed_forward.patch_feature_router,3,0.003067984478548169,0.0005467213341034949,3
17,model.global_transformer.layers.17.feed_forward.patch_feature_router,4,0.001092337304726243,-0.0037901366595178843,2
17,model.global_transformer.layers.17.feed_forward.patch_feature_router,5,5.655722998199053e-05,-0.005647611804306507,1
17,model.global_transformer.layers.17.feed_forward.patch_feature_router,6,-0.002317709382623434,-0.0023628671187907457,0
17,model.global_transformer.layers.17.feed_forward.patch_feature_router,7,0.004337997175753117,0.0011031725443899632,5
17,model.global_transformer.layers.17.feed_forward.patch_length_router,0,0.0046667419373989105,-0.004318857565522194,6
17,model.global_transformer.layers.17.feed_forward.patch_length_router,1,0.006548221688717604,0.006488257087767124,7
17,model.global_transformer.layers.17.feed_forward.patch_length_router,2,0.0032381275668740273,0.006063937209546566,4
17,model.global_transformer.layers.17.feed_forward.patch_length_router,3,0.003067984478548169,0.0005467213341034949,3
17,model.global_transformer.layers.17.feed_forward.patch_length_router,4,0.001092337304726243,-0.0037901366595178843,2
17,model.global_transformer.layers.17.feed_forward.patch_length_router,5,5.655722998199053e-05,-0.005647611804306507,1
17,model.global_transformer.layers.17.feed_forward.patch_length_router,6,-0.002317709382623434,-0.0023628671187907457,0
17,model.global_transformer.layers.17.feed_forward.patch_length_router,7,0.004337997175753117,0.0011031725443899632,5
18,model.global_transformer.layers.18.feed_forward.patch_feature_router,0,0.0024727010168135166,-0.03749779611825943,6
18,model.global_transformer.layers.18.feed_forward.patch_feature_router,1,-0.0227576345205307,-0.019002078101038933,1
18,model.global_transformer.layers.18.feed_forward.patch_feature_router,2,-0.013645699247717857,-0.025525754317641258,5
18,model.global_transformer.layers.18.feed_forward.patch_feature_router,3,-0.02886124514043331,-0.014400409534573555,0
18,model.global_transformer.layers.18.feed_forward.patch_feature_router,4,-0.019365821033716202,-0.021291084587574005,4
18,model.global_transformer.layers.18.feed_forward.patch_feature_router,5,0.00832871999591589,0.050901200622320175,7
18,model.global_transformer.layers.18.feed_forward.patch_feature_router,6,-0.021343747153878212,-0.01974053494632244,3
18,model.global_transformer.layers.18.feed_forward.patch_feature_router,7,-0.022114137187600136,-0.019145091995596886,2
18,model.global_transformer.layers.18.feed_forward.patch_length_router,0,0.0024727010168135166,-0.03749779611825943,6
18,model.global_transformer.layers.18.feed_forward.patch_length_router,1,-0.0227576345205307,-0.019002078101038933,1
18,model.global_transformer.layers.18.feed_forward.patch_length_router,2,-0.013645699247717857,-0.025525754317641258,5
18,model.global_transformer.layers.18.feed_forward.patch_length_router,3,-0.02886124514043331,-0.014400409534573555,0
18,model.global_transformer.layers.18.feed_forward.patch_length_router,4,-0.019365821033716202,-0.021291084587574005,4
18,model.global_transformer.layers.18.feed_forward.patch_length_router,5,0.00832871999591589,0.050901200622320175,7
18,model.global_transformer.layers.18.feed_forward.patch_length_router,6,-0.021343747153878212,-0.01974053494632244,3
18,model.global_transformer.layers.18.feed_forward.patch_length_router,7,-0.022114137187600136,-0.019145091995596886,2
19,model.global_transformer.layers.19.feed_forward.patch_feature_router,0,0.030063021928071976,-0.028567306697368622,7
19,model.global_transformer.layers.19.feed_forward.patch_feature_router,1,-0.015452620573341846,0.02232835441827774,1
19,model.global_transformer.layers.19.feed_forward.patch_feature_router,2,-0.00847157184034586,-0.012205131351947784,2
19,model.global_transformer.layers.19.feed_forward.patch_feature_router,3,-0.018761787563562393,0.033084847033023834,0
19,model.global_transformer.layers.19.feed_forward.patch_feature_router,4,-0.004979405552148819,-0.026121433824300766,6
19,model.global_transformer.layers.19.feed_forward.patch_feature_router,5,-0.008267143741250038,-0.012916641309857368,3
19,model.global_transformer.layers.19.feed_forward.patch_feature_router,6,-0.008206277154386044,-0.013151991181075573,4
