layer,matrix,expert_i,expert_j,same_original_pair,cosine_distance
5,w3,4,6,0,0.0017353296279907227
5,w3,4,7,0,0.9996218681335449
5,w3,5,6,0,0.9996545314788818
5,w3,5,7,0,0.0015954971313476562
5,w3,6,7,1,0.9996147155761719
6,w1,0,1,1,0.994038999080658
6,w1,0,2,0,-2.0503997802734375e-05
6,w1,0,3,0,0.994038999080658
6,w1,0,4,0,0.0002511739730834961
6,w1,0,5,0,0.9939720630645752
6,w1,0,6,0,0.0017372965812683105
6,w1,0,7,0,0.994038999080658
6,w1,1,2,0,0.9940245747566223
6,w1,1,3,0,-0.0003393888473510742
6,w1,1,4,0,0.9940418004989624
6,w1,1,5,0,0.0014871954917907715
6,w1,1,6,0,0.9939886927604675
6,w1,1,7,0,-0.0003393888473510742
6,w1,2,3,1,0.9940245747566223
6,w1,2,4,0,-2.3365020751953125e-05
6,w1,2,5,0,0.9939568638801575
6,w1,2,6,0,0.0014736056327819824
6,w1,2,7,0,0.9940245747566223
6,w1,3,4,0,0.9940418004989624
6,w1,3,5,0,0.0014871954917907715
6,w1,3,6,0,0.9939886927604675
6,w1,3,7,0,-0.0003393888473510742
6,w1,4,5,1,0.993974506855011
6,w1,4,6,0,0.001726686954498291
6,w1,4,7,0,0.9940418004989624
6,w1,5,6,0,0.9939210414886475
6,w1,5,7,0,0.0014871954917907715
6,w1,6,7,1,0.9939886927604675
6,w2,0,1,1,0.9991773366928101
6,w2,0,2,0,-0.0001823902130126953
6,w2,0,3,0,0.9991773366928101
6,w2,0,4,0,-8.797645568847656e-05
6,w2,0,5,0,0.9991801977157593
6,w2,0,6,0,0.00032830238342285156
6,w2,0,7,0,0.9991773366928101
6,w2,1,2,0,0.999184250831604
6,w2,1,3,0,-0.00013589859008789062
6,w2,1,4,0,0.9991849064826965
6,w2,1,5,0,0.00023871660232543945
6,w2,1,6,0,0.99917072057724
6,w2,1,7,0,-0.00013589859008789062
6,w2,2,3,1,0.999184250831604
6,w2,2,4,0,-0.0001819133758544922
6,w2,2,5,0,0.999187171459198
6,w2,2,6,0,0.00023674964904785156
6,w2,2,7,0,0.999184250831604
6,w2,3,4,0,0.9991849064826965
6,w2,3,5,0,0.00023871660232543945
6,w2,3,6,0,0.99917072057724
6,w2,3,7,0,-0.00013589859008789062
6,w2,4,5,1,0.9991876482963562
6,w2,4,6,0,0.0003261566162109375
6,w2,4,7,0,0.9991849064826965
6,w2,5,6,0,0.999174177646637
6,w2,5,7,0,0.00023871660232543945
6,w2,6,7,1,0.99917072057724
6,w3,0,1,1,1.000914216041565
6,w3,0,2,0,2.0325183868408203e-05
6,w3,0,3,0,1.000914216041565
6,w3,0,4,0,0.0003254413604736328
6,w3,0,5,0,1.0009597539901733
6,w3,0,6,0,0.0019299983978271484
6,w3,0,7,0,1.000914216041565
6,w3,1,2,0,1.000906229019165
6,w3,1,3,0,-0.0003039836883544922
6,w3,1,4,0,1.0008940696716309
6,w3,1,5,0,0.001653909683227539
6,w3,1,6,0,1.000875473022461
6,w3,1,7,0,-0.0003039836883544922
6,w3,2,3,1,1.000906229019165
6,w3,2,4,0,2.7179718017578125e-05
6,w3,2,5,0,1.0009516477584839
6,w3,2,6,0,0.0016390681266784668
6,w3,2,7,0,1.000906229019165
6,w3,3,4,0,1.0008940696716309
6,w3,3,5,0,0.001653909683227539
6,w3,3,6,0,1.000875473022461
6,w3,3,7,0,-0.0003039836883544922
6,w3,4,5,1,1.0009409189224243
6,w3,4,6,0,0.0019257068634033203
6,w3,4,7,0,1.0008940696716309
6,w3,5,6,0,1.0009188652038574
6,w3,5,7,0,0.001653909683227539
6,w3,6,7,1,1.000875473022461
7,w1,0,1,1,0.9941930770874023
7,w1,0,2,0,0.0010567903518676758
7,w1,0,3,0,0.9941384792327881
7,w1,0,4,0,0.0007621049880981445
7,w1,0,5,0,0.9941747188568115
7,w1,0,6,0,0.0018372535705566406
7,w1,0,7,0,0.9941595196723938
7,w1,1,2,0,0.9941866397857666
7,w1,1,3,0,0.0011245012283325195
7,w1,1,4,0,0.9941917657852173
7,w1,1,5,0,0.0005168914794921875
7,w1,1,6,0,0.9942682385444641
7,w1,1,7,0,0.001546621322631836
7,w1,2,3,1,0.9941319227218628
7,w1,2,4,0,0.0014585256576538086
7,w1,2,5,0,0.9941675662994385
7,w1,2,6,0,0.0022159814834594727
7,w1,2,7,0,0.9941517114639282
7,w1,3,4,0,0.9941360354423523
7,w1,3,5,0,0.0013204216957092285
7,w1,3,6,0,0.9942134618759155
7,w1,3,7,0,0.0013786554336547852
7,w1,4,5,1,0.9941725134849548
7,w1,4,6,0,0.002271413803100586
7,w1,4,7,0,0.9941556453704834
7,w1,5,6,0,0.9942483305931091
7,w1,5,7,0,0.001742720603942871
7,w1,6,7,1,0.9942269921302795
7,w2,0,1,1,1.000138282775879
7,w2,0,2,0,0.00014257431030273438
7,w2,0,3,0,1.000144600868225
7,w2,0,4,0,6.210803985595703e-05
7,w2,0,5,0,1.0001457929611206
7,w2,0,6,0,0.0003603696823120117
