layer,expert,param,init_norm,final_norm,delta_norm,relative_delta_norm
19,2,w2.weight,119.97163391113281,116.8459701538086,4.04482889175415,0.03371487709128195
19,2,w3.weight,61.12535858154297,59.519290924072266,3.0762112140655518,0.050326268597046316
19,3,w1.weight,63.607059478759766,61.91807556152344,4.899364471435547,0.07702548288797266
19,3,w2.weight,120.0698471069336,117.01808166503906,5.10578727722168,0.0425234761286441
19,3,w3.weight,61.213584899902344,59.64914321899414,4.532929420471191,0.07405103667565709
19,4,w1.weight,63.260833740234375,61.653411865234375,3.9409823417663574,0.06229735064746388
19,4,w2.weight,119.97163391113281,116.93718719482422,4.4747724533081055,0.03729858723623527
19,4,w3.weight,61.12535858154297,59.606136322021484,3.767151355743408,0.061629926484895126
19,5,w1.weight,63.607059478759766,61.95966339111328,1.9248716831207275,0.030261919021165685
19,5,w2.weight,120.0698471069336,116.96470642089844,3.242863416671753,0.02700814146772127
19,5,w3.weight,61.213584899902344,59.630802154541016,1.876165747642517,0.030649499628398327
19,6,w1.weight,63.260833740234375,61.61872482299805,2.0120115280151367,0.031805011237710734
19,6,w2.weight,119.97163391113281,116.86943817138672,3.292616605758667,0.027444959265934446
19,6,w3.weight,61.12535858154297,59.544090270996094,1.968018651008606,0.03219643527134783
19,7,w1.weight,63.607059478759766,61.95674133300781,2.095304012298584,0.03294137521006192
19,7,w2.weight,120.0698471069336,116.96613311767578,3.3357081413269043,0.02778139742575096
19,7,w3.weight,61.213584899902344,59.6319694519043,2.0452566146850586,0.03341180912749137
2,0,w1.weight,63.09025192260742,61.45800018310547,1.620316743850708,0.02568252137966288
2,0,w2.weight,109.38038635253906,106.55213165283203,2.8083693981170654,0.025675255790974346
2,0,w3.weight,54.75404357910156,53.337928771972656,1.4058400392532349,0.025675547363405833
2,1,w1.weight,62.20804977416992,60.59828567504883,1.5975651741027832,0.025681003984248028
2,1,w2.weight,109.55731964111328,106.72417449951172,2.813076972961426,0.025676759728847403
2,1,w3.weight,54.82606506347656,53.407875061035156,1.4077798128128052,0.025677199543371918
2,2,w1.weight,63.09025192260742,61.45800018310547,1.620316743850708,0.02568252137966288
2,2,w2.weight,109.38038635253906,106.55213165283203,2.8083693981170654,0.025675255790974346
2,2,w3.weight,54.75404357910156,53.337928771972656,1.4058400392532349,0.025675547363405833
2,3,w1.weight,62.20804977416992,60.59828567504883,1.5975651741027832,0.025681003984248028
2,3,w2.weight,109.55731964111328,106.72417449951172,2.813076972961426,0.025676759728847403
2,3,w3.weight,54.82606506347656,53.407875061035156,1.4077798128128052,0.025677199543371918
2,4,w1.weight,63.09025192260742,61.45800018310547,1.620316743850708,0.02568252137966288
2,4,w2.weight,109.38038635253906,106.55213165283203,2.8083693981170654,0.025675255790974346
2,4,w3.weight,54.75404357910156,53.337928771972656,1.4058400392532349,0.025675547363405833
2,5,w1.weight,62.20804977416992,60.80397415161133,3.808553695678711,0.06122284349862452
2,5,w2.weight,109.55731964111328,106.86869812011719,4.428114891052246,0.040418247777125056
2,5,w3.weight,54.82606506347656,53.61912536621094,3.6603686809539795,0.06676329363991394
2,6,w1.weight,63.09025192260742,61.65814971923828,3.823333263397217,0.06060101437044862
2,6,w2.weight,109.38038635253906,106.69511413574219,4.426858425140381,0.040472141055274115
2,6,w3.weight,54.75404357910156,53.547210693359375,3.661339282989502,0.06686883823840344
2,7,w1.weight,62.20804977416992,60.59828567504883,1.5975651741027832,0.025681003984248028
2,7,w2.weight,109.55731964111328,106.72417449951172,2.813076972961426,0.025676759728847403
2,7,w3.weight,54.82606506347656,53.407875061035156,1.4077798128128052,0.025677199543371918
20,0,w1.weight,63.74259948730469,62.0805549621582,2.1750988960266113,0.03412315960631291
20,0,w2.weight,121.4872055053711,118.34494018554688,3.4070072174072266,0.02804416484216991
20,0,w3.weight,61.712158203125,60.111045837402344,2.1281256675720215,0.03448470657220058
20,1,w1.weight,63.63045883178711,62.03664779663086,3.0694215297698975,0.04823824291262999
20,1,w2.weight,121.42105102539062,118.33377075195312,4.012040615081787,0.03304238088206622
20,1,w3.weight,61.641239166259766,60.11148452758789,3.030850410461426,0.04916919989694751
20,2,w1.weight,63.74259948730469,61.91066360473633,4.95105504989624,0.0776726253670003
20,2,w2.weight,121.4872055053711,118.29035186767578,5.129817008972168,0.04222516262212757
