layer,param,num_experts,experts,mean_pair_cos,min_pair_cos,max_pair_cos,mean_pair_rel_l2,min_pair_rel_l2,max_pair_rel_l2,mean_paired_cos_01_23_45_67,mean_paired_rel_l2_01_23_45_67,mean_weight_norm
5,w1.weight,8,"0,1,2,3,4,5,6,7",0.431849851289631,0.006638469640165567,0.9999479055404663,0.8289282764781551,0.02692508370475494,1.4095443587746417,0.0066971860360354185,1.4094997993291003,59.183589458465576
5,w2.weight,8,"0,1,2,3,4,5,6,7",0.42840576478192816,-0.00019306421745568514,1.0002151727676392,0.8210314865138796,0.014656297351323426,1.4143519682345944,-0.00017821171059040353,1.4143388195188549,107.97794532775879
5,w3.weight,8,"0,1,2,3,4,5,6,7",0.42814595560048474,0.0003297709336038679,0.9998948574066162,0.8330489288693389,0.02913350701513859,1.4139906104166284,0.0003676850610645488,1.413953270734348,54.96140098571777
6,w1.weight,8,"0,1,2,3,4,5,6,7",0.4316956452759249,0.005958015099167824,1.0003467798233032,0.8215413475880514,0.0,1.4100210067941825,0.0059909053379669785,1.4099942185335155,58.56931829452515
6,w2.weight,8,"0,1,2,3,4,5,6,7",0.42905634091169176,0.0008126597385853529,1.000335931777954,0.8162615712668762,0.0,1.4136471165047686,0.0008189080690499395,1.4136335069649077,107.39505290985107
6,w3.weight,8,"0,1,2,3,4,5,6,7",0.4277055929705966,-0.0009653552551753819,1.0003410577774048,0.8252149434081394,0.0,1.4148890875983808,-0.0009114603890338913,1.414860403000223,53.95649862289429
7,w1.weight,8,"0,1,2,3,4,5,6,7",0.4312937944861395,0.005728940945118666,0.999573826789856,0.830539016106086,0.03849160071781837,1.41016789646731,0.005815288634039462,1.4101040361858226,59.158430099487305
7,w2.weight,8,"0,1,2,3,4,5,6,7",0.42841443823480013,-0.00015859749692026526,1.0000991821289062,0.821548700300763,0.02121146217942214,1.41433114369745,-0.00014587378245778382,1.4143210002347388,108.58744716644287
7,w3.weight,8,"0,1,2,3,4,5,6,7",0.42754733198255834,-0.0006751641631126404,0.9994650483131409,0.8343953647075193,0.04128159405728418,1.4146867245460535,-0.000614056465565227,1.4146464761653381,55.615917682647705
8,w1.weight,8,"0,1,2,3,4,5,6,7",0.4313404208348532,0.005728533957153559,1.000254511833191,0.8280070047923779,0.01008388651709543,1.4101598727879407,0.005849384004250169,1.4100803238155142,58.70015859603882
8,w2.weight,8,"0,1,2,3,4,5,6,7",0.42838793900591554,-0.00021698439377360046,1.0002994537353516,0.8200923187601077,0.005420573222239506,1.414370026747088,-0.00020749068426084705,1.4143593774738985,108.8027572631836
8,w3.weight,8,"0,1,2,3,4,5,6,7",0.42780384050794446,-0.0003131814009975642,1.000256896018982,0.8313163868381278,0.010646416222121612,1.414437413910435,-0.00024845058214850724,1.4143934545527435,55.67512226104736
9,w1.weight,8,"0,1,2,3,4,5,6,7",0.4314625360504059,0.005667941179126501,1.0003244876861572,0.824653532602422,0.0015757714526084842,1.4102231792306432,0.00579108064994216,1.4101247476211383,58.31111526489258
9,w2.weight,8,"0,1,2,3,4,5,6,7",0.42875029213298277,0.00033028057077899575,1.0003209114074707,0.8179076259047766,0.001125534299384829,1.4139930101059284,0.00033850964973680675,1.4139811574626502,109.1286392211914
9,w3.weight,8,"0,1,2,3,4,5,6,7",0.42809942058244943,-0.00014852015010546893,1.0003207921981812,0.8273865633925002,0.0016963768981669472,1.4143266430357129,-5.787930376754957e-05,1.414254460325473,55.85157251358032
10,w1.weight,8,"0,1,2,3,4,5,6,7",0.431730525751066,0.006183788646012545,1.0003422498703003,0.8240038333432624,0.0,1.4098450414760413,0.00632059876807034,1.4097472801299857,58.68059682846069
10,w2.weight,8,"0,1,2,3,4,5,6,7",0.42829727870204287,-0.00045069438056088984,1.0003283023834229,0.8178426301878866,0.0,1.414538296876051,-0.00044340347085380927,1.4145228435110027,110.74496269226074
10,w3.weight,8,"0,1,2,3,4,5,6,7",0.42796247968778645,-0.00029172905487939715,1.0003248453140259,0.8267710029901,0.0,1.4144245842606684,-0.0002522699833207298,1.4143841509833313,56.8768630027771
11,w1.weight,8,"0,1,2,3,4,5,6,7",0.4321063128300011,0.007144901901483536,1.000135898590088,0.8299017284733489,0.01882843741004123,1.4091501092300482,0.007285036146640778,1.4090573657108492,58.51444101333618
11,w2.weight,8,"0,1,2,3,4,5,6,7",0.42871576170104425,0.0003610946878325194,1.0002658367156982,0.8208530699749002,0.009948316180610883,1.4139627111686888,0.0003764642242458649,1.4139469843049084,111.12822151184082
11,w3.weight,8,"0,1,2,3,4,5,6,7",0.427852811611956,-0.0001629939943086356,1.0001243352890015,0.8331270741076328,0.019509855228366964,1.4143329316931494,-0.00013429875252768397,1.4143108803652278,57.123671531677246
12,w1.weight,8,"0,1,2,3,4,5,6,7",0.43141459522303194,0.0057043349370360374,1.0003254413604736,0.8295552610620877,0.0024539472095293723,1.4101854897147665,0.006047094706445932,1.4099425130064034,58.92195653915405
12,w2.weight,8,"0,1,2,3,4,5,6,7",0.4279310899562136,-0.0010194397764280438,1.0002976655960083,0.8209717855630173,0.0015396706772030566,1.4149509339628525,-0.0010011091362684965,1.4149298589554136,111.75468826293945
12,w3.weight,8,"0,1,2,3,4,5,6,7",0.42792964356291513,-2.5329818527097814e-05,1.0003114938735962,0.8322102522130306,0.0025724238529910835,1.4142518955366092,-1.619816816855746e-05,1.4142321019178747,57.61856269836426
13,w1.weight,8,"0,1,2,3,4,5,6,7",0.43267217699238764,0.00743403285741806,1.0003217458724976,0.8181113888333922,0.0013617624397750383,1.4090252699790526,0.007532142801210284,1.408942587989713,59.19211292266846
13,w2.weight,8,"0,1,2,3,4,5,6,7",0.4288258401190563,0.0003628718259278685,1.000317931175232,0.8149004314068317,0.0007113453617387082,1.4139632408116891,0.00036914844531565905,1.4139542044238111,112.60531425476074
13,w3.weight,8,"0,1,2,3,4,5,6,7",0.4277794185784712,-0.0010445485822856426,1.0003055334091187,0.8216816707247802,0.0014068671534739835,1.414951533992748,-0.0010179707605857402,1.414931888474078,57.96280002593994
14,w1.weight,8,"0,1,2,3,4,5,6,7",0.43334664005254,0.008467243984341621,1.0003303289413452,0.8141363029480394,0.0,1.4082153887485793,0.008668061811476946,1.4080794832094932,59.7646541595459
14,w2.weight,8,"0,1,2,3,4,5,6,7",0.4283275344558725,-0.0005309266853146255,1.0003330707550049,0.8132000490824053,0.0,1.4145968055036642,-0.0005258776218397543,1.4145806724790921,113.04347801208496
14,w3.weight,8,"0,1,2,3,4,5,6,7",0.42815631102504476,-0.00046367396134883165,1.000322699546814,0.8177353099344681,0.0,1.41455079017181,-0.0004192161140963435,1.4145119496827259,58.17287540435791
15,w1.weight,8,"0,1,2,3,4,5,6,7",0.43341659295505713,0.009060858748853207,1.0000823736190796,0.8275012324189686,0.021164858735755063,1.4078130693607445,0.009445848874747753,1.4075353564543054,60.477169036865234
15,w2.weight,8,"0,1,2,3,4,5,6,7",0.42903196873833493,0.0008815316832624376,1.0002418756484985,0.8197553363603971,0.011244662398863894,1.4135930132504249,0.000896092111361213,1.4135772400946758,113.86752700805664
15,w3.weight,8,"0,1,2,3,4,5,6,7",0.42796832793601425,-0.00011094922956544906,1.000070333480835,0.8316304650709622,0.022059547436804067,1.4142933219808216,-6.657569520029938e-05,1.4142638275751884,58.42746591567993
16,w1.weight,8,"0,1,2,3,4,5,6,7",0.4336343071689563,0.008987044915556908,1.0002939701080322,0.8197325231751087,0.005509004536503068,1.4078534458043879,0.009371015476062894,1.4075807773621745,60.92417001724243
16,w2.weight,8,"0,1,2,3,4,5,6,7",0.42824658219719175,-0.0006116824806667864,1.000303864479065,0.8165062916911261,0.003376180034759995,1.414642113948808,-0.0006009729841025546,1.414633210191845,114.5094861984253
